2026-02-28 22:36:15 [byzantine-cluster-worker5] Loss=0.0299 | Trust= 65.0 | ⚠️  ANOMALY
2026-03-01 00:37:27 [byzantine-cluster-worker] Loss=0.0207 | Trust=100.0 | ✅ normal
2026-03-01 00:37:27 [byzantine-cluster-worker2] Loss=0.0231 | Trust=100.0 | ✅ normal
2026-03-01 00:37:27 [byzantine-cluster-worker3] Loss=0.0234 | Trust=100.0 | ✅ normal
2026-03-01 00:37:27 [byzantine-cluster-worker4] Loss=0.0201 | Trust=100.0 | ✅ normal
2026-03-01 00:37:27 [byzantine-cluster-worker5] Loss=0.0219 | Trust=100.0 | ✅ normal
2026-03-01 00:37:37 [byzantine-cluster-worker] Loss=0.0207 | Trust=100.0 | ✅ normal
2026-03-01 00:37:37 [byzantine-cluster-worker2] Loss=0.0236 | Trust=100.0 | ✅ normal
2026-03-01 00:37:37 [byzantine-cluster-worker3] Loss=0.0239 | Trust=100.0 | ✅ normal
2026-03-01 00:37:37 [byzantine-cluster-worker4] Loss=0.0197 | Trust=100.0 | ✅ normal
2026-03-01 00:37:37 [byzantine-cluster-worker5] Loss=0.0222 | Trust=100.0 | ✅ normal
2026-03-01 00:37:47 [byzantine-cluster-worker] Loss=0.0205 | Trust=100.0 | ✅ normal
2026-03-01 00:37:47 [byzantine-cluster-worker2] Loss=0.0238 | Trust=100.0 | ✅ normal
2026-03-01 00:37:47 [byzantine-cluster-worker3] Loss=0.0241 | Trust=100.0 | ✅ normal
2026-03-01 00:37:47 [byzantine-cluster-worker4] Loss=0.0197 | Trust=100.0 | ✅ normal
2026-03-01 00:37:48 [byzantine-cluster-worker5] Loss=0.0220 | Trust=100.0 | ✅ normal
2026-03-01 00:37:58 [byzantine-cluster-worker] Loss=0.0202 | Trust=100.0 | ✅ normal
2026-03-01 00:37:58 [byzantine-cluster-worker2] Loss=0.0239 | Trust=100.0 | ✅ normal
2026-03-01 00:37:58 [byzantine-cluster-worker3] Loss=0.0242 | Trust=100.0 | ✅ normal
2026-03-01 00:37:58 [byzantine-cluster-worker4] Loss=0.0199 | Trust=100.0 | ✅ normal
2026-03-01 00:37:58 [byzantine-cluster-worker5] Loss=0.0219 | Trust=100.0 | ✅ normal
2026-03-01 00:38:08 [byzantine-cluster-worker] Loss=0.0200 | Trust=100.0 | ✅ normal
2026-03-01 00:38:08 [byzantine-cluster-worker2] Loss=0.0238 | Trust=100.0 | ✅ normal
2026-03-01 00:38:08 [byzantine-cluster-worker3] Loss=0.0241 | Trust=100.0 | ✅ normal
2026-03-01 00:38:08 [byzantine-cluster-worker4] Loss=0.0201 | Trust=100.0 | ✅ normal
